Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,MDX,SUV,Asia,All,"$36,945 ","$33,337 ",3.5,6.0,265.0,17.0,26.0,4451.0,106.0,189.0
Acura,RSX Type S 2dr,Sedan,Asia,Front,"$23,820 ","$21,761 ",2.0,4.0,200.0,24.0,34.0,2778.0,101.0,172.0
Acura,TSX 4dr,Sedan,Asia,Front,"$26,990 ","$24,647 ",2.4,4.0,200.0,22.0,32.0,3230.0,105.0,183.0
Acura,TL 4dr,Sedan,Asia,Front,"$33,195 ","$30,299 ",3.2,6.0,270.0,20.0,31.0,3575.0,108.0,186.0
Acura,3.5 RL 4dr,Sedan,Asia,Front,"$43,755 ","$39,014 ",3.5,6.0,225.0,18.0,27.0,3880.0,115.0,197.0
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,"$46,100 ","$41,100 ",3.5,6.0,225.0,18.0,27.0,3893.0,115.0,197.0
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,"$89,765 ","$79,978 ",3.2,6.0,290.0,17.0,27.0,3153.0,100.0,174.0
Audi,A4 1.8T 4dr,Sedan,Europe,Front,"$25,940 ","$23,508 ",1.8,4.0,170.0,22.0,34.0,3252.0,104.0,179.0
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,"$35,940 ","$32,506 ",1.8,4.0,170.0,23.0,33.0,3638.0,105.0,180.0
Audi,A4 3.0 4dr,Sedan,Europe,Front,"$31,840 ","$28,846 ",3.0,6.0,220.0,20.0,31.0,3462.0,104.0,179.0
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,"$33,430 ","$30,366 ",3.0,6.0,220.0,17.0,29.0,3583.0,104.0,179.0
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,"$34,480 ","$31,388 ",3.0,6.0,220.0,18.0,28.0,3627.0,104.0,179.0
Audi,A6 3.0 4dr,Sedan,Europe,Front,"$36,640 ","$33,129 ",3.0,6.0,220.0,20.0,30.0,3561.0,109.0,192.0
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,"$39,640 ","$35,992 ",3.0,6.0,220.0,18.0,28.0,3880.0,109.0,192.0
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,"$42,490 ","$38,325 ",3.0,6.0,220.0,20.0,30.0,3814.0,105.0,180.0
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,"$44,240 ","$40,075 ",3.0,6.0,220.0,18.0,28.0,4013.0,105.0,180.0
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,"$42,840 ","$38,840 ",2.7,6.0,250.0,18.0,28.0,3836.0,109.0,192.0
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,"$49,690 ","$44,936 ",4.2,8.0,300.0,17.0,27.0,4024.0,109.0,193.0
Audi,A8 L Quattro 4dr,Sedan,Europe,All,"$69,190 ","$64,740 ",4.2,8.0,330.0,17.0,27.0,4399.0,121.0,204.0
Audi,S4 Quattro 4dr,Sedan,Europe,All,"$48,040 ","$43,556 ",4.2,8.0,340.0,14.0,23.0,3825.0,104.0,179.0
Audi,RS 6 4dr,Sports,Europe,Front,"$84,600 ","$76,417 ",4.2,8.0,450.0,15.0,25.0,4024.0,109.0,191.0
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,"$35,940 ","$32,512 ",1.8,4.0,180.0,20.0,31.0,3131.0,95.0,159.0
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,"$37,390 ","$33,891 ",1.8,4.0,225.0,20.0,31.0,2921.0,96.0,159.0
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,"$40,590 ","$36,739 ",3.2,6.0,250.0,21.0,32.0,3351.0,96.0,159.0
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,"$40,840 ","$37,060 ",3.0,6.0,220.0,18.0,28.0,4035.0,109.0,192.0
Audi,S4 Avant Quattro,Wagon,Europe,All,"$49,090 ","$44,446 ",4.2,8.0,340.0,15.0,24.0,3936.0,104.0,179.0
BMW,X3 3.0i,SUV,Europe,All,"$37,000 ","$33,873 ",3.0,6.0,225.0,16.0,26.0,4023.0,110.0,180.0
BMW,X5 4.4i,SUV,Europe,All,"$52,195 ","$47,720 ",4.4,8.0,325.0,16.0,25.0,4824.0,111.0,184.0
BMW,325i 4dr,Sedan,Europe,Rear,"$28,495 ","$26,155 ",2.5,6.0,184.0,20.0,32.0,3219.0,107.0,176.0
BMW,325Ci 2dr,Sedan,Europe,Rear,"$30,795 ","$28,245 ",2.5,6.0,184.0,20.0,32.0,3197.0,107.0,177.0
,,,,,,,3.1967289719626195,5.807511737089202,215.8855140186916,20.060747663551403,29.843457943925234,3577.9532710280373,108.15420560747664,186.36214953271028
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,"$37,995 ","$34,800 ",2.5,6.0,184.0,19.0,30.0,3560.0,107.0,177.0
BMW,325xi 4dr,Sedan,Europe,All,"$30,245 ","$27,745 ",2.5,6.0,184.0,19.0,30.0,3461.0,107.0,176.0
BMW,330i 4dr,Sedan,Europe,Rear,"$35,495 ","$32,525 ",3.0,6.0,225.0,20.0,33.0,3285.0,107.0,176.0
BMW,330Ci 2dr,Sedan,Europe,Rear,"$36,995 ","$33,890 ",3.0,6.0,225.0,20.0,33.0,3285.0,107.0,176.0
BMW,330xi 4dr,Sedan,Europe,All,"$37,245 ","$34,115 ",3.0,6.0,225.0,20.0,32.0,3483.0,107.0,176.0
BMW,525i 4dr,Sedan,Europe,Rear,"$39,995 ","$36,620 ",2.5,6.0,184.0,19.0,31.0,3428.0,114.0,191.0
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,"$44,295 ","$40,530 ",3.0,6.0,225.0,19.0,31.0,3616.0,107.0,177.0
BMW,530i 4dr,Sedan,Europe,Rear,"$44,995 ","$41,170 ",3.0,6.0,225.0,20.0,33.0,3472.0,114.0,191.0
,,,,,,,3.1967289719626195,5.807511737089202,215.8855140186916,20.060747663551403,29.843457943925234,3577.9532710280373,108.15420560747664,186.36214953271028
BMW,545iA 4dr,Sedan,Europe,Rear,"$54,995 ","$50,270 ",4.4,8.0,325.0,18.0,29.0,3814.0,114.0,191.0
BMW,745i 4dr,Sedan,Europe,Rear,"$69,195 ","$63,190 ",4.4,8.0,325.0,18.0,29.0,4376.0,118.0,198.0
BMW,745Li 4dr,Sedan,Europe,Rear,"$73,195 ","$66,830 ",4.4,8.0,325.0,18.0,29.0,4464.0,123.0,204.0
BMW,M3 coupe 2dr,Sports,Europe,Rear,"$48,195 ","$44,170 ",3.2,6.0,333.0,16.0,27.0,3415.0,108.0,177.0
BMW,M3 convertible 2dr,Sports,Europe,Rear,"$56,595 ","$51,815 ",3.2,6.0,333.0,16.0,26.0,3781.0,108.0,177.0
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,"$33,895 ","$31,065 ",2.5,6.0,184.0,20.0,31.0,2932.0,98.0,161.0
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,"$41,045 ","$37,575 ",3.0,6.0,225.0,21.0,32.0,2998.0,98.0,161.0
BMW,325xi Sport,Wagon,Europe,All,"$32,845 ","$30,110 ",2.5,6.0,184.0,19.0,29.0,3594.0,107.0,176.0
Buick,Rainier,SUV,USA,All,"$37,895 ","$34,357 ",4.2,6.0,275.0,15.0,24.0,4600.0,113.0,193.0
Buick,Rendezvous CX,SUV,USA,Front,"$26,545 ","$24,085 ",3.4,6.0,185.0,19.0,29.0,4024.0,112.0,187.0
Buick,Century Custom 4dr,Sedan,USA,Front,"$22,180 ","$20,351 ",3.1,6.0,175.0,20.0,33.0,3353.0,109.0,195.0
Buick,LeSabre Custom 4dr,Sedan,USA,Front,"$26,470 ","$24,282 ",3.8,6.0,205.0,20.0,32.0,3567.0,112.0,200.0
Buick,Regal LS 4dr,Sedan,USA,Front,"$24,895 ","$22,835 ",3.8,6.0,200.0,20.0,33.0,3461.0,109.0,196.0
Buick,Regal GS 4dr,Sedan,USA,Front,"$28,345 ","$26,047 ",3.8,6.0,240.0,18.0,31.0,3536.0,109.0,196.0
Buick,LeSabre Limited 4dr,Sedan,USA,Front,"$32,245 ","$29,566 ",3.8,6.0,205.0,20.0,32.0,3591.0,112.0,200.0
Buick,Park Avenue 4dr,Sedan,USA,Front,"$35,545 ","$32,244 ",3.8,6.0,205.0,20.0,32.0,3778.0,114.0,207.0
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,"$40,720 ","$36,927 ",3.8,6.0,240.0,18.0,31.0,3909.0,114.0,207.0
Cadillac,Escalade,SUV,USA,Front,"$52,795 ","$48,377 ",5.3,8.0,295.0,14.0,21.0,5367.0,116.0,199.0
Cadillac,SRX V8,SUV,USA,Front,"$46,995 ","$43,523 ",4.6,8.0,320.0,16.0,24.0,4302.0,116.0,195.0
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,"$30,835 ","$28,575 ",3.6,6.0,255.0,18.0,28.0,3694.0,113.0,190.0
Cadillac,Deville 4dr,Sedan,USA,Front,"$45,445 ","$41,650 ",4.6,8.0,275.0,18.0,29.0,3984.0,115.0,207.0
Cadillac,Deville DTS 4dr,Sedan,USA,Front,"$50,595 ","$46,362 ",4.6,8.0,300.0,18.0,29.0,4044.0,115.0,207.0
Cadillac,Seville SLS 4dr,Sedan,USA,Front,"$47,955 ","$43,841 ",4.6,8.0,275.0,18.0,29.0,3992.0,112.0,201.0
Cadillac,XLR convertible 2dr,Sports,USA,Rear,"$76,200 ","$70,546 ",4.6,8.0,320.0,17.0,28.0,3647.0,106.0,178.0
Cadillac,Escalade EXT,Truck,USA,All,"$52,975 ","$48,541 ",6.0,8.0,345.0,13.0,20.0,5879.0,130.0,221.0
Chevrolet,Suburban 1500 LT,SUV,USA,Front,"$42,735 ","$37,422 ",5.3,8.0,295.0,14.0,21.0,4947.0,130.0,219.0
Chevrolet,Tahoe LT,SUV,USA,All,"$41,465 ","$36,287 ",5.3,8.0,295.0,14.0,21.0,5050.0,116.0,197.0
Chevrolet,TrailBlazer LT,SUV,USA,Front,"$30,295 ","$27,479 ",4.2,6.0,275.0,16.0,24.0,4425.0,113.0,192.0
Chevrolet,Tracker,SUV,USA,Front,"$20,255 ","$19,108 ",2.5,6.0,165.0,19.0,25.0,2866.0,98.0,163.0
Chevrolet,Aveo 4dr,Sedan,USA,Front,"$11,690 ","$10,965 ",1.6,4.0,103.0,28.0,37.0,2370.0,98.0,167.0
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,"$12,585 ","$11,802 ",1.6,4.0,103.0,28.0,37.0,2348.0,98.0,153.0
Chevrolet,Cavalier 2dr,Sedan,USA,Front,"$14,610 ","$13,697 ",2.2,4.0,140.0,26.0,40.0,2617.0,104.0,183.0
Chevrolet,Cavalier 4dr,Sedan,USA,Front,"$14,810 ","$13,884 ",2.2,4.0,140.0,26.0,40.0,2676.0,104.0,183.0
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,"$16,385 ","$15,357 ",2.2,4.0,140.0,26.0,40.0,2617.0,104.0,183.0
Chevrolet,Impala 4dr,Sedan,USA,Front,"$21,900 ","$20,095 ",3.4,6.0,180.0,21.0,35.0,3465.0,111.0,200.0
Chevrolet,Malibu 4dr,Sedan,USA,Front,"$18,995 ","$17,434 ",2.2,4.0,145.0,24.0,37.0,3174.0,106.0,188.0
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,"$20,370 ","$18,639 ",3.5,6.0,200.0,22.0,33.0,3297.0,106.0,188.0
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,"$21,825 ","$20,026 ",3.4,6.0,180.0,21.0,35.0,3340.0,111.0,198.0
Chevrolet,Impala LS 4dr,Sedan,USA,Front,"$25,000 ","$22,931 ",3.8,6.0,200.0,20.0,33.0,3476.0,111.0,200.0
Chevrolet,Impala SS 4dr,Sedan,USA,Front,"$27,995 ","$25,672 ",3.8,6.0,240.0,18.0,31.0,3606.0,111.0,200.0
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,"$23,495 ","$21,551 ",3.5,6.0,200.0,23.0,35.0,3315.0,106.0,188.0
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,"$24,225 ","$22,222 ",3.8,6.0,200.0,18.0,31.0,3434.0,111.0,198.0
Chevrolet,Astro,Sedan,USA,All,"$26,395 ","$23,954 ",4.3,6.0,190.0,14.0,20.0,4605.0,111.0,190.0
Chevrolet,Venture LS,Sedan,USA,Front,"$27,020 ","$24,518 ",3.4,6.0,185.0,19.0,29.0,3699.0,112.0,187.0
Chevrolet,Corvette 2dr,Sports,USA,Rear,"$44,535 ","$39,068 ",5.7,8.0,350.0,18.0,28.0,3246.0,105.0,180.0
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,"$51,535 ","$45,193 ",5.7,8.0,350.0,18.0,28.0,3248.0,105.0,180.0
Chevrolet,Avalanche 1500,Truck,USA,All,"$36,100 ","$31,689 ",5.3,8.0,295.0,14.0,21.0,5678.0,130.0,222.0
Chevrolet,Colorado Z85,Truck,USA,All,"$18,760 ","$17,070 ",2.8,4.0,175.0,18.0,26.0,3623.0,111.0,192.0
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,"$20,310 ","$18,480 ",4.3,6.0,200.0,15.0,24.0,4142.0,119.0,206.0
Chevrolet,Silverado SS,Truck,USA,All,"$40,340 ","$35,399 ",6.0,8.0,300.0,13.0,20.0,4804.0,144.0,238.0
Chevrolet,SSR,Truck,USA,Rear,"$41,995 ","$39,306 ",5.3,8.0,300.0,16.0,22.0,4760.0,116.0,191.0
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,"$22,225 ","$20,394 ",3.5,6.0,200.0,22.0,33.0,3458.0,112.0,188.0
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,"$17,985 ","$16,919 ",2.4,4.0,150.0,22.0,32.0,3101.0,103.0,169.0
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,"$22,000 ","$20,573 ",2.4,4.0,150.0,22.0,32.0,3105.0,103.0,169.0
Chrysler,Sebring 4dr,Sedan,USA,Front,"$19,090 ","$17,805 ",2.4,4.0,150.0,22.0,33.0,3173.0,108.0,191.0
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,"$21,840 ","$20,284 ",2.7,6.0,200.0,21.0,31.0,3222.0,108.0,191.0
Chrysler,300M 4dr,Sedan,USA,Front,"$29,865 ","$27,797 ",3.5,6.0,250.0,18.0,30.0,3581.0,113.0,198.0
Chrysler,Concorde LX 4dr,Sedan,USA,Front,"$24,130 ","$22,452 ",2.7,6.0,200.0,21.0,32.0,3479.0,113.0,208.0
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,"$26,860 ","$24,909 ",3.5,6.0,232.0,19.0,30.0,3548.0,113.0,208.0
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,"$25,955 ","$24,172 ",2.4,4.0,220.0,21.0,30.0,3217.0,103.0,169.0
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,"$25,215 ","$23,451 ",2.4,4.0,150.0,22.0,33.0,3357.0,106.0,194.0
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,"$33,295 ","$30,884 ",3.5,6.0,255.0,18.0,30.0,3650.0,113.0,198.0
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,"$30,950 ","$28,613 ",2.7,6.0,200.0,21.0,31.0,3448.0,106.0,194.0
Chrysler,Town and Country LX,Sedan,USA,Front,"$27,490 ","$25,371 ",3.3,6.0,180.0,19.0,29.0,4068.0,119.0,201.0
Chrysler,Town and Country Limited,Sedan,USA,Front,"$38,380 ","$35,063 ",3.8,6.0,215.0,18.0,28.0,4331.0,119.0,201.0
Chrysler,Crossfire 2dr,Sports,USA,Rear,"$34,495 ","$32,033 ",3.2,6.0,215.0,17.0,28.0,3060.0,95.0,160.0
Chrysler,Pacifica,Wagon,USA,Rear,"$31,230 ","$28,725 ",3.5,6.0,250.0,17.0,26.0,4675.0,116.0,199.0
Dodge,Durango SLT,SUV,USA,All,"$32,235 ","$29,472 ",4.7,8.0,230.0,15.0,24.0,4987.0,119.0,201.0
Dodge,Neon SE 4dr,Sedan,USA,Front,"$13,670 ","$12,849 ",2.0,4.0,132.0,29.0,39.0,2581.0,105.0,174.0
Dodge,Neon SXT 4dr,Sedan,USA,Front,"$15,040 ","$14,086 ",2.0,4.0,132.0,29.0,39.0,2626.0,105.0,174.0
Dodge,Intrepid SE 4dr,Sedan,USA,Front,"$22,035 ","$20,502 ",2.7,6.0,200.0,21.0,32.0,3469.0,113.0,204.0
Dodge,Stratus SXT 4dr,Sedan,USA,Front,"$18,820 ","$17,512 ",2.4,4.0,150.0,21.0,31.0,3182.0,108.0,191.0
Dodge,Stratus SE 4dr,Sedan,USA,Front,"$20,220 ","$18,821 ",2.4,4.0,150.0,21.0,31.0,3175.0,108.0,191.0
Dodge,Intrepid ES 4dr,Sedan,USA,Front,"$24,885 ","$23,058 ",3.5,6.0,232.0,18.0,30.0,3487.0,113.0,204.0
Dodge,Caravan SE,Sedan,USA,Front,"$21,795 ","$20,508 ",2.4,4.0,150.0,20.0,29.0,3862.0,113.0,189.0
Dodge,Grand Caravan SXT,Sedan,USA,All,"$32,660 ","$29,812 ",3.8,6.0,215.0,18.0,28.0,4440.0,119.0,201.0
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,"$81,795 ","$74,451 ",8.3,10.0,500.0,12.0,23.0,3410.0,99.0,176.0
Dodge,Dakota Regular Cab,Truck,USA,Rear,"$17,630 ","$16,264 ",3.7,6.0,210.0,16.0,25.0,3714.0,112.0,193.0
Dodge,Dakota Club Cab,Truck,USA,Rear,"$20,300 ","$18,670 ",3.7,6.0,210.0,16.0,25.0,3829.0,131.0,219.0
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,"$20,215 ","$18,076 ",3.7,6.0,215.0,16.0,24.0,4542.0,121.0,208.0
Ford,Excursion 6.8 XLT,SUV,USA,All,"$41,475 ","$36,494 ",6.8,10.0,310.0,10.0,16.0,7190.0,137.0,227.0
Ford,Expedition 4.6 XLT,SUV,USA,Front,"$34,560 ","$30,468 ",4.6,8.0,232.0,15.0,22.0,5000.0,119.0,206.0
Ford,Explorer XLT V6,SUV,USA,All,"$29,670 ","$26,983 ",4.0,6.0,210.0,15.0,23.0,4463.0,114.0,190.0
Ford,Escape XLS,SUV,USA,All,"$22,515 ","$20,907 ",3.0,6.0,201.0,18.0,26.0,3346.0,103.0,173.0
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,"$13,270 ","$12,482 ",2.0,4.0,130.0,26.0,36.0,2612.0,103.0,168.0
Ford,Focus LX 4dr,Sedan,USA,Front,"$13,730 ","$12,906 ",2.0,4.0,110.0,27.0,39.0,2606.0,103.0,168.0
Ford,Focus SE 4dr,Sedan,USA,Front,"$15,460 ","$14,496 ",2.0,4.0,130.0,26.0,36.0,2606.0,103.0,168.0
Ford,Focus ZX5 5dr,Sedan,USA,Front,"$15,580 ","$14,607 ",2.0,4.0,130.0,26.0,36.0,2691.0,103.0,168.0
Ford,Focus SVT 2dr,Sedan,USA,Front,"$19,135 ","$17,878 ",2.0,4.0,170.0,21.0,31.0,2750.0,103.0,168.0
Ford,Taurus LX 4dr,Sedan,USA,Front,"$20,320 ","$18,881 ",3.0,6.0,155.0,20.0,30.0,3306.0,109.0,198.0
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,"$22,735 ","$20,857 ",3.0,6.0,201.0,19.0,29.0,3313.0,109.0,198.0
Ford,Crown Victoria 4dr,Sedan,USA,Rear,"$24,345 ","$22,856 ",4.6,8.0,224.0,17.0,28.0,4057.0,115.0,212.0
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,"$27,370 ","$25,105 ",4.6,8.0,224.0,17.0,28.0,4057.0,115.0,212.0
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,"$30,315 ","$27,756 ",4.6,8.0,239.0,17.0,28.0,4057.0,115.0,212.0
Ford,Freestar SE,Sedan,USA,Front,"$26,930 ","$24,498 ",3.9,6.0,193.0,17.0,26.0,4275.0,121.0,201.0
Ford,Mustang 2dr (convertible),Sports,USA,Rear,"$18,345 ","$16,943 ",3.8,6.0,193.0,20.0,32.0,3290.0,101.0,183.0
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,"$29,380 ","$26,875 ",4.6,8.0,260.0,17.0,28.0,3347.0,101.0,183.0
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,"$37,530 ","$34,483 ",3.9,8.0,280.0,17.0,27.0,3780.0,107.0,186.0
Ford,F-150 Regular Cab XL,Truck,USA,Rear,"$22,010 ","$19,490 ",4.6,8.0,231.0,15.0,22.0,4788.0,126.0,211.0
Ford,F-150 Supercab Lariat,Truck,USA,All,"$33,540 ","$29,405 ",5.4,8.0,300.0,14.0,21.0,5464.0,133.0,218.0
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,"$14,385 ","$13,717 ",2.3,4.0,143.0,24.0,32.0,3028.0,111.0,188.0
Ford,Focus ZTW,Wagon,USA,Front,"$17,475 ","$16,375 ",2.0,4.0,130.0,26.0,36.0,2702.0,103.0,178.0
Ford,Taurus SE,Wagon,USA,Front,"$22,290 ","$20,457 ",3.0,6.0,155.0,19.0,29.0,3497.0,109.0,198.0
